"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1001,42.1,42.1,57.9,"Doppleschwand LU","Doppleschwand (LU)","Doppleschwand LU","In Doppleschwand hat die Änderung des Covid-19-Gesetzes keine Mehrheit gefunden: 57,9 Prozent haben es abgelehnt. Bei der letzten Covid-19-Abstimmung im November 2021 hatte Doppleschwand noch Ja gesagt, bei der ersten im Juni 2021 hingegen wie dieses Mal ebenfalls Nein.","C'est non à la nouvelle modification de la loi Covid-19 à Doppleschwand. Les habitants ont refusé le texte à 57,9 pour cent. Seule la première modification de la loi Covid, acceptée en novembre 2021, a passé la rampe à Doppleschwand,. La première votation en juin 2021 et la dernière modification ont elles essuyé un refus.","A Doppleschwand i cittadini hanno respinto, con il 57,9 percento dei voti, la legge COVID-19. A Doppleschwand le legge Covid era stata approvata in un'occasione nelle votazioni passare."
1002,40.5,40.5,59.5,"Entlebuch LU","Entlebuch (LU)","Entlebuch LU","Mit 552 Nein- zu 375 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger von Entlebuch die Änderung des Covid-19-Gesetzes abgelehnt. Das entspricht 59,5 Prozent. Damit hat Entlebuch bereits zum dritten Mal eine Covid-19-Vorlage abgelehnt.","La population d'Entlebuch rejette à 59,5 pour cent des voix la nouvelle modification de la loi Covid-19. Entlebuch a refusé les trois votations concernant la loi Covid.","Con il 59,5 percento di ""no"", i cittadini del comune di Entlebuch hanno respinto la legge COVID-19. A Entlebuch la legge Covid è stata bocciata in tutte e tre le votazioni."
1004,47.5,47.5,52.5,"Flühli LU","Flühli (LU)","Flühli LU","52,5 Prozent Stimmbürgerinnen und Stimmbürger von Flühli haben Nein gesagt zur Änderung des Covid-19-Gesetzes. Damit hat Flühli bereits zum dritten Mal eine Covid-19-Vorlage abgelehnt.","A Flühli, les citoyens rejettent à 52,5 pour cent la nouvelle modification de la loi Covid-19. Flühli a refusé les trois votations concernant la loi Covid.","I cittadini di Flühli si sono espressi contro la legge COVID-19. Il testo è stato respinto con il 52,5 percento dei voti. A Flühli la legge Covid è stata bocciata in tutte e tre le votazioni."
1005,36.9,36.9,63.1,"Hasle LU","Hasle (LU)","Hasle LU","63,1 Prozent der Stimmbürgerinnen und Stimmbürger von Hasle LU haben die Änderung des Covid-19-Gesetzes abgelehnt. Damit hat Hasle LU bereits zum dritten Mal eine Covid-19-Vorlage abgelehnt.","Les habitants de Hasle (LU) s'opposent à la nouvelle modification de la loi Covid-19 par 63,1 pour cent des voix. Hasle (LU) a refusé les trois votations concernant la loi Covid.","No alla legge COVID-19 nel comune di Hasle LU: i cittadini hanno bocciato il testo con il 63,1 percento dei voti. A Hasle LU la legge Covid è stata bocciata in tutte e tre le votazioni."
1007,44.1,44.1,55.9,"Romoos LU","Romoos (LU)","Romoos LU","55,9 Prozent Stimmbürgerinnen und Stimmbürger von Romoos haben Nein gesagt zur Änderung des Covid-19-Gesetzes. Damit hat Romoos bereits zum dritten Mal eine Covid-19-Vorlage abgelehnt.","A Romoos, les citoyens rejettent à 55,9 pour cent la nouvelle modification de la loi Covid-19. Romoos a refusé les trois votations concernant la loi Covid.","I cittadini di Romoos si sono espressi contro la legge COVID-19. Il testo è stato respinto con il 55,9 percento dei voti. A Romoos la legge Covid è stata bocciata in tutte e tre le votazioni."
1008,48.3,48.3,51.7,"Schüpfheim LU","Schüpfheim (LU)","Schüpfheim LU","Nein zur Änderung des Covid-19-Gesetzes: Schüpfheim hat die Vorlage mit 51,7 Prozent Nein-Stimmen verworfen. Damit hat Schüpfheim bereits zum dritten Mal eine Covid-19-Vorlage abgelehnt.","La nouvelle modification de la loi Covid-19 n'a pas trouvé grâce aux yeux des citoyens de Schüpfheim. Ils ont refusé le texte à 51,7 pour cent. Schüpfheim a refusé les trois votations concernant la loi Covid.","Nel comune di Schüpfheim la legge COVID-19 è stata respinta con il 51,7 percento dei voti. A Schüpfheim la legge Covid è stata bocciata in tutte e tre le votazioni."
1009,40.1,40.1,59.9,"Werthenstein LU","Werthenstein (LU)","Werthenstein LU","Mit 328 Nein- zu 220 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger von Werthenstein die Änderung des Covid-19-Gesetzes abgelehnt. Das entspricht 59,9 Prozent. Damit hat Werthenstein bereits zum dritten Mal eine Covid-19-Vorlage abgelehnt.","La population de Werthenstein rejette à 59,9 pour cent des voix la nouvelle modification de la loi Covid-19. Werthenstein a refusé les trois votations concernant la loi Covid.","Con il 59,9 percento di ""no"", i cittadini del comune di Werthenstein hanno respinto la legge COVID-19. A Werthenstein la legge Covid è stata bocciata in tutte e tre le votazioni."
1010,41.5,41.5,58.5,"Escholzmatt-Marbach LU","Escholzmatt-Marbach (LU)","Escholzmatt-Marbach LU","Nein zur Änderung des Covid-19-Gesetzes: Escholzmatt-Marbach hat die Vorlage mit 58,5 Prozent Nein-Stimmen verworfen. Damit hat Escholzmatt-Marbach bereits zum dritten Mal eine Covid-19-Vorlage abgelehnt.","La nouvelle modification de la loi Covid-19 n'a pas trouvé grâce aux yeux des citoyens d'Escholzmatt-Marbach. Ils ont refusé le texte à 58,5 pour cent. Escholzmatt-Marbach a refusé les trois votations concernant la loi Covid.","Nel comune di Escholzmatt-Marbach la legge COVID-19 è stata respinta con il 58,5 percento dei voti. A Escholzmatt-Marbach la legge Covid è stata bocciata in tutte e tre le votazioni."
1021,44.9,44.9,55.1,"Aesch LU","Aesch (LU)","Aesch LU","Nein zur Änderung des Covid-19-Gesetzes: Aesch LU hat die Vorlage mit 55,1 Prozent Nein-Stimmen verworfen. Damit hat Aesch LU bereits zum dritten Mal eine Covid-19-Vorlage abgelehnt.","La nouvelle modification de la loi Covid-19 n'a pas trouvé grâce aux yeux des citoyens d'Aesch (LU). Ils ont refusé le texte à 55,1 pour cent. Aesch (LU) a refusé les trois votations concernant la loi Covid.","Nel comune di Aesch LU la legge COVID-19 è stata respinta con il 55,1 percento dei voti. A Aesch LU la legge Covid è stata bocciata in tutte e tre le votazioni."
1023,48.1,48.1,51.9,"Ballwil LU","Ballwil (LU)","Ballwil LU","Nein zur Änderung des Covid-19-Gesetzes: Ballwil hat die Vorlage mit 51,9 Prozent Nein-Stimmen verworfen. Damit hat in Ballwil ein Meinungsumschwung stattgefunden. Den letzten beiden Covid-19-Vorlagen im November 2021 und im Juni 2021 hatte Ballwil noch zugestimmt.","La nouvelle modification de la loi Covid-19 n'a pas trouvé grâce aux yeux des citoyens de Ballwil. Ils ont refusé le texte à 51,9 pour cent. Ballwil a refusé la première votation sur la loi Covid. Cette commune a ensuite accepté les deux modifications proposées.","Nel comune di Ballwil la legge COVID-19 è stata respinta con il 51,9 percento dei voti. A Ballwil le legge Covid era stata approvata in due occasioni nelle votazioni passare."
