"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,80.5,80.5,19.5,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Mit 80,5 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Aeugst am Albis für die Umsetzung der OECD-Mindeststeuer gestimmt.","La population d'Aeugst am Albis approuve à 80,5 pour cent la réforme de l'imposition minimale de l'OCDE .","Nel comune di Aeugst am Albis l’imposizione minima OCSE/G20 è stata accettata con il 80,5 percento dei voti."
2,78.8,78.8,21.2,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","78,8 Prozent der Stimmbürgerinnen und Stimmbürger in Affoltern am Albis haben Ja gesagt zur Umsetzung der OECD-Mindeststeuer.","Les habitants d'Affoltern am Albis acceptent avec 78,8 pour cent de oui la réforme de l'imposition minimale de l'OCDE .","Con il 78,8 percento di ""sì"", i cittadini del comune di Affoltern am Albis hanno accolto l'imposizione minima OCSE/G20."
3,83.5,83.5,16.5,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","83,5 Prozent der Stimmbürgerinnen und Stimmbürger in Bonstetten haben Ja gesagt zur Umsetzung der OECD-Mindeststeuer.","Les habitants de Bonstetten acceptent avec 83,5 pour cent de oui la réforme de l'imposition minimale de l'OCDE .","Con il 83,5 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto l'imposizione minima OCSE/G20."
4,73.4,73.4,26.6,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","73,4 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich für die Umsetzung der OECD-Mindeststeuer ausgesprochen.","A Hausen am Albis, les habitants disent oui à  73,4 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE .","Nel comune di Hausen am Albis l'imposizione minima OCSE/G20 è stata approvata con il 73,4 percento dei voti."
5,79.2,79.2,20.8,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Mit 1'072 Ja zu 281 Nein hat sich Hedingen für die Umsetzung der OECD-Mindeststeuer ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 79,2 Prozent.","Hedingen dit oui à 79,2 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE .","Sì all’imposizione minima OCSE/G20 nel comune di Hedingen: i cittadini hanno approvato il testo con il 79,2 percento dei voti."
6,77.2,77.2,22.8,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","77,2 Prozent der Stimmbürgerinnen und Stimmbürger in Kappel am Albis haben Ja gesagt zur Umsetzung der OECD-Mindeststeuer.","Les habitants de Kappel am Albis acceptent avec 77,2 pour cent de oui la réforme de l'imposition minimale de l'OCDE .","Con il 77,2 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto l'imposizione minima OCSE/G20."
7,78.9,78.9,21.1,"Knonau ZH","Knonau (ZH)","Knonau ZH","Mit 553 Ja zu 148 Nein hat sich Knonau für die Umsetzung der OECD-Mindeststeuer ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 78,9 Prozent.","Knonau dit oui à 78,9 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE .","Sì all’imposizione minima OCSE/G20 nel comune di Knonau: i cittadini hanno approvato il testo con il 78,9 percento dei voti."
8,75.3,75.3,24.7,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Die Umsetzung der OECD-Mindeststeuer ist in Maschwanden mit 75,3 Prozent der Stimmen angenommen worden.","La réforme de l'imposition minimale de l'OCDE est approuvée à Maschwanden par 75,3 pour cent des votants.","I cittadini di Maschwanden si sono espressi a favore dell'imposizione minima OCSE/G20. Il testo è stato approvato con il 75,3 percento dei voti."
9,78.9,78.9,21.1,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","78,9 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich für die Umsetzung der OECD-Mindeststeuer ausgesprochen.","A Mettmenstetten, les habitants disent oui à  78,9 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE .","Nel comune di Mettmenstetten l'imposizione minima OCSE/G20 è stata approvata con il 78,9 percento dei voti."
10,78.3,78.3,21.7,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","78,3 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben sich für die Umsetzung der OECD-Mindeststeuer ausgesprochen.","A Obfelden, les habitants disent oui à  78,3 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE .","Nel comune di Obfelden l'imposizione minima OCSE/G20 è stata approvata con il 78,3 percento dei voti."
