"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",53.2,46.8,100,160,118,"118/160"
2,"Bern","Berne","Berna",0,0,50,333,0,"0/333"
3,"Luzern","Lucerne","Lucerna",59.1,40.9,100,80,78,"78/80"
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19"
5,"Schwyz","Schwyz","Svitto",40.5,59.5,0,30,20,"20/30"
6,"Obwalden","Obwald","Obvaldo",0,0,50,7,0,"0/7"
7,"Nidwalden","Nidwald","Nidvaldo",46.8,53.2,46.8,11,11,
8,"Glarus","Glaris","Glarona",46,54,46,3,3,
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11"
10,"Freiburg","Fribourg","Friburgo",55.5,44.5,100,126,96,"96/126"
11,"Solothurn","Soleure","Soletta",49,51,0,107,88,"88/107"
12,"Basel-Stadt","Bâle-Ville","Basilea Città",0,0,50,3,0,"0/3"
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",54.9,45.1,100,86,77,"77/86"
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26"
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",0,0,50,20,0,"0/20"
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,5,0,"0/5"
17,"St. Gallen","Saint-Gall","San Gallo",49.2,50.8,0,75,53,"53/75"
18,"Graubünden","Grisons","Grigioni",53.3,46.7,100,101,98,"98/101"
19,"Aargau","Argovie","Argovia",51.4,48.6,100,198,189,"189/198"
20,"Thurgau","Thurgovie","Turgovia",45.2,54.8,0,80,36,"36/80"
21,"Tessin","Tessin","Ticino",53.6,46.4,100,106,41,"41/106"
22,"Waadt","Vaud","Vaud",66.9,33.1,100,300,289,"289/300"
23,"Wallis","Valais","Vallese",52.3,47.7,100,122,100,"100/122"
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27"
25,"Genf","Genève","Ginevra",0,0,50,45,0,"0/45"
26,"Jura","Jura","Giura",0,0,50,51,0,"0/51"
